iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,transit_stations_x,workplaces,grocery_and_pharmacy,parks,retail_and_recreation,residential,testing_policy,contact_tracing,containment_index,vaccination_policy,vaccine_availability,debt_relief,facial_coverings,income_support,restrictions_internal_movements,international_travel_controls,public_information_campaigns_x,cancel_public_events,restriction_gatherings,close_public_transport,public_information_campaigns_y,school_closures,stay_home_requirements,transit_stations_y,workplace_closures,new_cases_best,new_cases_worst
KOR,Asia,South Korea,2020-01-23,1.0,0.0,953.7828529819695,1486.0730659025787,9.137535816618911,8.992418338108884,0.019,0.0,18.590396671289877,28.96536389684814,0.17792550143266472,0.17526217765042978,1.074322766570605,225.2768532526475,4.390945537065053,67287.21906116643,11945141.211948792,232.82522048364154,1.3115106685633,67303.35632183908,1.3118175287356322,0.011569109195402298,142.29956896551724,,0.0,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.99799999999999,6.8,6.2,40.9,12.27,83.03,0.916,-7.066061428571429,-6.2277514285714295,14.653900000000002,30.719034285714287,-5.201352857142856,3.986117142857143,1.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.066061428571429,0.0,0.0,1.0
KOR,Asia,South Korea,2020-01-24,2.0,1.0,953.7828529819695,1486.0730659025787,9.137535816618911,8.992418338108884,0.039,0.019,18.590396671289877,28.96536389684814,0.17792550143266472,0.17526217765042978,1.074322766570605,225.2768532526475,4.390945537065053,67287.21906116643,11945141.211948792,232.82522048364154,1.3115106685633,67303.35632183908,1.3118175287356322,0.011569109195402298,142.29956896551724,,0.0,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.99799999999999,6.8,6.2,40.9,12.27,83.03,0.916,-7.066061428571429,-6.2277514285714295,14.653900000000002,30.719034285714287,-5.201352857142856,3.986117142857143,1.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.066061428571429,0.0,0.0,7.0
KOR,Asia,South Korea,2020-01-25,2.0,0.0,953.7828529819695,1486.0730659025787,9.137535816618911,8.992418338108884,0.039,0.0,18.590396671289877,28.96536389684814,0.17792550143266472,0.17526217765042978,1.074322766570605,225.2768532526475,4.390945537065053,67287.21906116643,11945141.211948792,232.82522048364154,1.3115106685633,67303.35632183908,1.3118175287356322,0.011569109195402298,142.29956896551724,,0.0,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.99799999999999,6.8,6.2,40.9,12.27,83.03,0.916,-7.066061428571429,-6.2277514285714295,14.653900000000002,30.719034285714287,-5.201352857142856,3.986117142857143,1.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.066061428571429,0.0,0.0,7.0
KOR,Asia,South Korea,2020-01-26,3.0,1.0,953.7828529819695,1486.0730659025787,9.137535816618911,8.992418338108884,0.0579999999999999,0.019,18.590396671289877,28.96536389684814,0.17792550143266472,0.17526217765042978,1.074322766570605,225.2768532526475,4.390945537065053,67287.21906116643,11945141.211948792,232.82522048364154,1.3115106685633,67303.35632183908,1.3118175287356322,0.011569109195402298,142.29956896551724,,0.0,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.99799999999999,6.8,6.2,40.9,12.27,83.03,0.916,-7.066061428571429,-6.2277514285714295,14.653900000000002,30.719034285714287,-5.201352857142856,3.986117142857143,1.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.066061428571429,0.0,0.0,7.0
KOR,Asia,South Korea,2020-01-27,4.0,1.0,953.7828529819695,1486.0730659025787,9.137535816618911,8.992418338108884,0.078,0.019,18.590396671289877,28.96536389684814,0.17792550143266472,0.17526217765042978,1.074322766570605,225.2768532526475,4.390945537065053,67287.21906116643,11945141.211948792,232.82522048364154,1.3115106685633,67303.35632183908,1.3118175287356322,0.011569109195402298,142.29956896551724,,0.0,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.99799999999999,6.8,6.2,40.9,12.27,83.03,0.916,-7.066061428571429,-6.2277514285714295,14.653900000000002,30.719034285714287,-5.201352857142856,3.986117142857143,1.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.066061428571429,0.0,0.0,7.0
KOR,Asia,South Korea,2020-01-28,4.0,0.0,0.429,1486.0730659025787,9.137535816618911,8.992418338108884,0.078,0.0,0.008,28.96536389684814,0.17792550143266472,0.17526217765042978,1.074322766570605,225.2768532526475,4.390945537065053,67287.21906116643,11945141.211948792,232.82522048364154,1.3115106685633,67303.35632183908,1.3118175287356322,0.011569109195402298,142.29956896551724,,0.0,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.99799999999999,6.8,6.2,40.9,12.27,83.03,0.916,-7.066061428571429,-6.2277514285714295,14.653900000000002,30.719034285714287,-5.201352857142856,3.986117142857143,1.0,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.066061428571429,0.0,0.0,7.0
KOR,Asia,South Korea,2020-01-29,4.0,0.0,0.429,1486.0730659025787,9.137535816618911,8.992418338108884,0.078,0.0,0.008,28.96536389684814,0.17792550143266472,0.17526217765042978,1.074322766570605,225.2768532526475,4.390945537065053,67287.21906116643,11945141.211948792,232.82522048364154,1.3115106685633,67303.35632183908,1.3118175287356322,0.011569109195402298,142.29956896551724,,0.0,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.99799999999999,6.8,6.2,40.9,12.27,83.03,0.916,-7.066061428571429,-6.2277514285714295,14.653900000000002,30.719034285714287,-5.201352857142856,3.986117142857143,1.0,1.0,5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.066061428571429,0.0,0.0,7.0
KOR,Asia,South Korea,2020-01-30,4.0,0.0,0.429,1486.0730659025787,9.137535816618911,8.992418338108884,0.078,0.0,0.008,28.96536389684814,0.17792550143266472,0.17526217765042978,1.074322766570605,225.2768532526475,4.390945537065053,67287.21906116643,11945141.211948792,232.82522048364154,1.3115106685633,67303.35632183908,1.3118175287356322,0.011569109195402298,142.29956896551724,,0.0,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.99799999999999,6.8,6.2,40.9,12.27,83.03,0.916,-7.066061428571429,-6.2277514285714295,14.653900000000002,30.719034285714287,-5.201352857142856,3.986117142857143,1.0,1.0,5.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.066061428571429,0.0,0.0,7.0
KOR,Asia,South Korea,2020-01-31,11.0,7.0,1.286,1486.0730659025787,9.137535816618911,8.992418338108884,0.214,0.136,0.025,28.96536389684814,0.17792550143266472,0.17526217765042978,1.074322766570605,225.2768532526475,4.390945537065053,67287.21906116643,11945141.211948792,232.82522048364154,1.3115106685633,67303.35632183908,1.3118175287356322,0.011569109195402298,142.29956896551724,,2.78,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.99799999999999,6.8,6.2,40.9,12.27,83.03,0.916,-7.066061428571429,-6.2277514285714295,14.653900000000002,30.719034285714287,-5.201352857142856,3.986117142857143,1.0,1.0,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-7.066061428571429,0.0,0.0,7.0
KOR,Asia,South Korea,2020-02-01,12.0,1.0,1.429,1486.0730659025787,9.137535816618911,8.992418338108884,0.2339999999999999,0.019,0.0279999999999999,28.96536389684814,0.17792550143266472,0.17526217765042978,1.074322766570605,225.2768532526475,4.390945537065053,67287.21906116643,11945141.211948792,232.82522048364154,1.3115106685633,67303.35632183908,1.3118175287356322,0.011569109195402298,142.29956896551724,,13.89,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.99799999999999,6.8,6.2,40.9,12.27,83.03,0.916,-7.066061428571429,-6.2277514285714295,14.653900000000002,30.719034285714287,-5.201352857142856,3.986117142857143,1.0,1.0,14.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,-7.066061428571429,0.0,0.0,4.0
KOR,Asia,South Korea,2020-02-02,15.0,3.0,1.714,1486.0730659025787,9.137535816618911,8.992418338108884,0.292,0.0579999999999999,0.033,28.96536389684814,0.17792550143266472,0.17526217765042978,1.074322766570605,225.2768532526475,4.390945537065053,67287.21906116643,11945141.211948792,232.82522048364154,1.3115106685633,67303.35632183908,1.3118175287356322,0.011569109195402298,142.29956896551724,,13.89,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.99799999999999,6.8,6.2,40.9,12.27,83.03,0.916,-7.066061428571429,-6.2277514285714295,14.653900000000002,30.719034285714287,-5.201352857142856,3.986117142857143,1.0,1.0,14.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,-7.066061428571429,0.0,0.0,4.0
KOR,Asia,South Korea,2020-02-03,15.0,0.0,1.571,1486.0730659025787,9.137535816618911,8.992418338108884,0.292,0.0,0.031,28.96536389684814,0.17792550143266472,0.17526217765042978,1.074322766570605,225.2768532526475,4.390945537065053,67287.21906116643,11945141.211948792,232.82522048364154,1.3115106685633,67303.35632183908,1.3118175287356322,0.011569109195402298,142.29956896551724,,23.15,51305184.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.99799999999999,6.8,6.2,40.9,12.27,83.03,0.916,-7.066061428571429,-6.2277514285714295,14.653900000000002,30.719034285714287,-5.201352857142856,3.986117142857143,1.0,1.0,20.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,-7.066061428571429,0.0,0.0,4.0
